"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","GIN","aggregation_fn","batch_norm","batch_size","benchmark_idx","dataset","deepset","deepset_type","depth","dim0_out_dim","dim1","dim1_out_dim","dist_dim1","dropout_p","dummy_var","early_topo","fake","filtration_hidden","fold","folds","hidden_dim","legacy","lr","lr_patience","max_epochs","merged","min_cycle","min_lr","model","num_classes","num_coord_funs","num_coord_funs/Gaussian_transform","num_coord_funs/Line_transform","num_coord_funs/RationalHat_transform","num_coord_funs/Triangle_transform","num_coord_funs1","num_coord_funs1/Gaussian_transform","num_coord_funs1/Line_transform","num_coord_funs1/RationalHat_transform","num_coord_funs1/Triangle_transform","num_filtrations","num_node_features","paired","q_dim_set2set","residual","residual_and_bn","save_filtration","seed","set2set","set_out_dim","shallow_deepset","share_filtration_parameters","swap_bn_order","tanh_filtrations","task","train_eps","training_seed","use_node_attributes","best_val_acc","best_val_loss","epoch","lr-Adam","restored_test_acc","restored_test_loss","test_acc","test_loss","train_acc_epoch","train_acc_step","train_loss_epoch","train_loss_step","val_acc","val_acc_epoch","val_acc_step","val_loss","val_loss_epoch","val_loss_step","val_loss_step/epoch_0","validation_loss"
"LargerGCN_ENZYMES","p6k6iiik","finished","-","expectationmax","ENZYMES, LargerGCN","2021-02-04T17:10:29.000Z","303","lrnq0v4t","false","","true","20","true","ENZYMES","","","3","","","","","0","","","","","6","","146","true","0.0007","25","1000","false","","0.000001","LargerGCN","6","","","","","","","","","","","","3","false","","true","","","42","","","","","","","Tasks.GRAPH_CLASSIFICATION","true","1048285464","false","","","308","6.8359375e-7","0.30000001192092896","1.688300848007202","0.2666666805744171","1.7088792324066162","0.4000000059604645","0.4000000059604645","1.672231674194336","1.672231674194336","0.2666666805744171","","","1.7574831247329712","","","",""
"LargerGCN_ENZYMES","dfy57dnl","finished","-","expectationmax","ENZYMES, LargerGCN","2021-02-04T17:15:49.000Z","406","lrnq0v4t","false","","true","20","true","ENZYMES","","","4","","","","","0","","","","","8","","146","true","0.0007","25","1000","false","","0.000001","LargerGCN","6","","","","","","","","","","","","3","false","","true","","","42","","","","","","","Tasks.GRAPH_CLASSIFICATION","true","947672095","false","","","424","6.8359375e-7","0.28333333134651184","1.8545746803283691","0.28333333134651184","1.8137623071670532","0.3499999940395355","0.3499999940395355","1.6845624446868896","1.6845624446868896","0.36666667461395264","","","1.7690986394882202","","","",""
"LargerGCN_ENZYMES","g6iuhtbf","finished","-","expectationmax","ENZYMES, LargerGCN","2021-02-04T17:19:10.000Z","274","lrnq0v4t","false","","true","20","true","ENZYMES","","","5","","","","","0","","","","","5","","146","true","0.0007","25","1000","false","","0.000001","LargerGCN","6","","","","","","","","","","","","3","false","","true","","","42","","","","","","","Tasks.GRAPH_CLASSIFICATION","true","3340555413","false","","","278","6.8359375e-7","0.21666666865348816","1.798245906829834","0.21666666865348816","1.769666314125061","0.3499999940395355","0.3499999940395355","1.579711675643921","1.579711675643921","0.25","","","1.845208764076233","","","",""
"LargerGCN_ENZYMES","qtvsizz8","finished","-","expectationmax","ENZYMES, LargerGCN","2021-02-04T17:05:52.000Z","231","lrnq0v4t","false","","true","20","true","ENZYMES","","","2","","","","","0","","","","","5","","146","true","0.0007","25","1000","false","","0.000001","LargerGCN","6","","","","","","","","","","","","3","false","","true","","","42","","","","","","","Tasks.GRAPH_CLASSIFICATION","true","404683128","false","","","263","6.8359375e-7","0.15000000596046448","1.7986193895339966","0.23333333432674408","1.7879170179367063","0.15000000596046448","0.15000000596046448","1.7990516424179075","1.7990516424179075","0.15000000596046448","","","1.886014699935913","","","",""
"LargerGCN_PROTEINS_full","lfyg9pfb","finished","-","expectationmax","LargerGCN, PROTEINS_full","2021-02-04T16:00:58.000Z","424","lrnq0v4t","false","","true","20","true","PROTEINS_full","","","1","","","","","0","","","","","4","","146","true","0.0007","25","1000","false","","0.000001","LargerGCN","2","","","","","","","","","","","","3","false","","true","","","42","","","","","","","Tasks.GRAPH_CLASSIFICATION","true","1506432485","false","","","319","6.8359375e-7","0.6576576828956604","0.6373170614242554","0.6216216087341309","0.6836963891983032","0.699999988079071","0.699999988079071","0.6271438598632812","0.6271438598632812","0.6428571343421936","","","0.6147683262825012","","","",""
"LargerGCN_ENZYMES","mapos9kt","finished","-","expectationmax","ENZYMES, LargerGCN","2021-02-04T17:11:36.000Z","330","lrnq0v4t","false","","true","20","true","ENZYMES","","","3","","","","","0","","","","","8","","146","true","0.0007","25","1000","false","","0.000001","LargerGCN","6","","","","","","","","","","","","3","false","","true","","","42","","","","","","","Tasks.GRAPH_CLASSIFICATION","true","47734467","false","","","356","6.8359375e-7","0.23333333432674408","1.7716434001922607","0.18333333730697632","1.818331956863403","0.25","0.25","1.5811816453933716","1.5811816453933716","0.28333333134651184","","","1.7467458248138428","","","",""
"LargerGCN_PROTEINS_full","jt3t3hsc","finished","-","expectationmax","LargerGCN, PROTEINS_full","2021-02-04T16:50:22.000Z","497","lrnq0v4t","false","","true","20","true","PROTEINS_full","","","5","","","","","0","","","","","0","","146","true","0.0007","25","1000","false","","0.000001","LargerGCN","2","","","","","","","","","","","","3","false","","true","","","42","","","","","","","Tasks.GRAPH_CLASSIFICATION","true","919406231","false","","","327","6.8359375e-7","0.7142857313156128","0.5617202520370483","0.6964285969734192","0.5817286372184753","0.699999988079071","0.699999988079071","0.6130324006080627","0.6130324006080627","0.7410714030265808","","","0.5732936263084412","","","",""
"LargerGCN_ENZYMES","chpfv3xt","finished","-","expectationmax","ENZYMES, LargerGCN","2021-02-04T17:07:05.000Z","342","lrnq0v4t","false","","true","20","true","ENZYMES","","","2","","","","","0","","","","","8","","146","true","0.0007","25","1000","false","","0.000001","LargerGCN","6","","","","","","","","","","","","3","false","","true","","","42","","","","","","","Tasks.GRAPH_CLASSIFICATION","true","2497282378","false","","","360","6.8359375e-7","0.23333333432674408","1.759143352508545","0.2666666805744171","1.7582314014434814","0.30000001192092896","0.30000001192092896","1.6957288980484009","1.6957288980484009","0.25","","","1.7280888557434082","","","",""
"LargerGCN_ENZYMES","aa791jpb","finished","-","expectationmax","ENZYMES, LargerGCN","2021-02-04T17:09:59.000Z","247","lrnq0v4t","false","","true","20","true","ENZYMES","","","3","","","","","0","","","","","5","","146","true","0.0007","25","1000","false","","0.000001","LargerGCN","6","","","","","","","","","","","","3","false","","true","","","42","","","","","","","Tasks.GRAPH_CLASSIFICATION","true","1032287033","false","","","263","6.8359375e-7","0.06666667014360428","1.8129611015319824","0.25","1.7779388427734375","0.25","0.25","1.5934970378875732","1.5934970378875732","0.25","","","1.832689642906189","","","",""
"LargerGCN_PROTEINS_full","wz5fy764","finished","-","expectationmax","LargerGCN, PROTEINS_full","2021-02-04T15:58:33.000Z","502","lrnq0v4t","false","","true","20","true","PROTEINS_full","","","1","","","","","0","","","","","3","","146","true","0.0007","25","1000","false","","0.000001","LargerGCN","2","","","","","","","","","","","","3","false","","true","","","42","","","","","","","Tasks.GRAPH_CLASSIFICATION","true","3574384287","false","","","314","6.8359375e-7","0.6666666865348816","0.6215075850486755","0.6666666865348816","0.6220800280570984","0.699999988079071","0.699999988079071","0.6446470022201538","0.6446470022201538","0.7053571343421936","","","0.5734854340553284","","","",""
